
Date and time: 2016-07-19 08:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
7,113,6,15.6
7,113,7,16.2
7,114,1,15.4
7,114,2,15.3
7,114,3,15.2
7,114,4,15.2
7,114,5,15.3
7,114,6,15.4
7,114,7,15.3
8,115,1,15.4
8,115,2,15.3
8,115,3,15.1
8,115,4,15.1
8,115,5,15.0
8,115,6,15.1
8,115,7,14.8
8,116,1,15.5
8,116,2,15.5
8,116,3,15.0
8,116,4,15.0
8,117,1,15.1
8,117,2,15.3
8,117,3,15.2
8,117,4,15.1
8,117,5,15.1
8,117,6,15.1
8,117,7,14.8
8,118,1,15.3
8,118,2,15.3
8,118,3,15.1
8,118,4,15.0
8,118,5,15.0
8,118,6,15.1
8,118,7,14.8
8,119,1,15.5
8,119,2,15.3
8,119,3,15.3
8,119,4,15.2
8,119,5,15.3
8,119,6,15.4
8,119,7,15.8
8,120,1,15.3
8,120,2,15.3
8,120,3,15.3
8,120,4,15.1
8,120,5,15.2
8,120,6,15.3
8,120,7,15.1
9,121,1,15.8
9,121,2,15.8
9,121,3,15.8
9,121,4,15.6
9,121,5,15.4
9,121,6,15.4
9,121,7,15.2
9,122,1,15.7
9,122,2,15.8
9,122,3,15.6
9,122,4,15.5
9,122,5,15.5
9,122,6,15.5
9,122,7,15.4
9,123,1,15.8
9,123,2,15.6
9,123,3,15.7
9,123,4,15.6
9,123,5,15.6
9,123,6,15.4
9,123,7,14.9
9,124,1,15.8
9,124,2,15.8
9,124,3,15.7
9,124,4,15.6
9,124,5,15.7
9,124,6,15.6
9,124,7,15.3
9,125,1,15.8
9,125,2,15.9
9,125,3,15.6
9,125,4,15.7
9,125,5,15.6
9,125,6,15.9
9,125,7,16.2
9,126,1,15.8
9,126,2,15.8
9,126,3,15.8
9,126,4,15.7
9,126,5,15.7
9,126,6,15.6
9,126,7,15.4
10,127,1,16.1
10,127,2,16.1
10,127,3,15.9
10,127,4,15.9
10,127,5,16.2
10,127,6,16.3
10,127,7,16.0
10,128,1,16.3
10,128,2,16.1
10,128,3,16.1
10,128,4,16.0
10,128,5,15.9
10,128,6,16.2
10,128,7,16.1
10,129,1,16.1
10,129,2,16.1
10,129,3,16.0
10,129,4,15.9
10,129,5,16.1
10,129,6,16.4
10,129,7,15.6
10,130,1,16.0
10,130,2,16.5
10,130,3,16.0
10,130,4,16.0
10,130,5,16.0
10,130,6,16.0
10,131,1,16.2
10,131,2,16.1
10,131,3,16.2
10,131,4,16.1
10,131,5,16.1
10,131,6,16.5
10,131,7,17.6
10,132,1,16.0
10,132,2,16.0
10,132,3,16.0
10,132,4,16.0
10,132,5,16.0
10,132,6,16.5
11,133,1,15.6
11,133,2,15.7
11,133,3,15.6
11,133,4,15.4
11,133,5,15.4
11,133,6,14.9
11,133,7,14.8
11,134,1,15.4
11,134,2,15.3
11,134,3,15.1
11,134,4,15.0
11,134,5,14.8
11,134,6,14.6
11,134,7,14.8
11,135,1,15.0
11,135,2,15.0
11,135,3,15.0
11,135,4,15.0
11,135,5,14.5
11,135,6,14.5
11,136,1,15.4
11,136,2,15.3
11,136,3,15.2
11,136,4,15.0
11,136,5,15.1
11,136,6,15.1
11,136,7,15.2
11,137,1,15.3
11,137,2,15.4
11,137,3,15.4
11,137,4,15.3
11,137,5,15.1
11,137,6,15.1
11,137,7,16.5
11,138,1,15.5
