
Date and time: 2015-06-10 06:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
21,165,2,14.8
21,165,3,14.6
21,165,4,14.5
21,165,5,14.6
21,165,6,14.5
21,165,7,14.3
21,166,1,14.9
21,166,2,14.6
21,166,3,14.6
21,166,4,14.6
21,166,5,14.4
21,166,6,14.6
21,166,7,14.3
21,167,1,14.9
21,167,2,14.8
21,167,3,14.8
21,167,4,14.8
21,167,5,14.6
21,167,6,14.4
21,167,7,14.2
21,168,1,14.9
21,168,2,14.8
21,168,3,14.8
21,168,4,14.9
21,168,5,14.6
21,168,6,14.4
21,168,7,14.1
20,169,1,14.4
20,169,2,14.3
20,169,3,14.2
20,169,4,14.1
20,169,5,14.1
20,169,6,13.8
20,169,7,13.7
20,170,1,14.3
20,170,2,14.3
20,170,3,14.1
20,170,4,14.1
20,170,5,14.1
20,170,6,14.1
20,170,7,13.6
20,171,1,14.3
20,171,2,14.1
20,171,3,14.1
20,171,4,14.1
20,171,5,13.9
20,171,6,13.8
20,171,7,13.7
20,172,1,14.3
20,172,2,14.3
20,172,3,14.3
20,172,4,14.1
20,172,5,14.1
20,172,6,13.9
20,172,7,13.9
20,173,1,14.3
20,173,2,14.3
20,173,3,14.3
20,173,4,14.1
20,173,5,14.0
20,173,6,13.9
20,173,7,13.8
20,174,1,14.3
20,174,2,14.4
20,174,3,14.2
20,174,4,14.2
20,174,5,14.1
20,174,6,14.0
20,174,7,13.6
1,181,1,14.8
1,181,2,14.6
1,181,3,14.6
1,181,4,14.4
1,181,5,14.2
1,181,6,14.1
1,181,7,14.1
1,184,1,14.6
1,184,2,14.4
1,184,3,14.4
1,184,4,14.5
1,184,5,14.3
1,184,6,14.2
1,184,7,14.1
1,185,1,14.7
1,185,2,14.7
1,185,3,14.4
1,185,4,14.4
1,185,5,14.3
1,185,6,14.2
1,185,7,13.9
1,186,1,15.0
1,186,2,14.5
1,186,3,14.5
1,186,4,14.5
1,186,5,14.0
1,186,6,14.0
1,186,7,14.3
2,187,1,14.0
2,187,2,14.0
